"term","estimate","std.error","statistic","p.value","model"
"phoneme_length:frequency:mean_utterance_length:syn_catadj-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catadv",-350732246.539408,56590226.1659868,-6.19775304503401,9.73726736356692e-06,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catco-qn",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catconj",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catconj-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catconj-prep",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catconj-prep-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catconj-pro-int-rel",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catdet",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catdet-pro-comp",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catdet-pro-dem",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catmod",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catneg",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catprep",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catprep-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catprep-inf",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catpro-indef",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catpro-indef-adj",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catpro-int-rel",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catqn",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:syn_catqn-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:Conc.M:syn_catadj-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:Conc.M:syn_catadv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:Conc.M:syn_catco-qn",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:Conc.M:syn_catconj",NA,NA,NA,NA,"multiplicative"
